Block,Trial,Reaction Time,Fixation Duration,Stimulus Color
0,0,0.22191779990680516,3,red
0,1,0.22424259991385043,3,green
0,2,0.2546337000094354,2,blue
0,3,0.2737269999925047,2,red
0,4,0.31200049980543554,2,green
0,5,0.3319516000337899,2,blue
1,0,0.22191779990680516,3,blue
1,1,0.22424259991385043,3,red
1,2,0.2546337000094354,2,green
1,3,0.2737269999925047,2,red
1,4,0.31200049980543554,2,blue
1,5,0.3319516000337899,2,green
